date,file_type,ticker,name,close,mode,mode_css,revl,mom,r,days,tr_weeks,pl_raw,pl_num,signal_type
2026-04-16,daily,IWN,iSh. Russell 2000 Value ETF,201.93,Dark Green,c4,191.5,8.21,0.37,7,41,+5.14%,5.14,pP
2026-04-16,daily,IWR,iSh. Russell Mid Cap ETF,102.26,Dark Green,c4,98.2,7.42,0.11,5,0,+1.40%,1.4,pP
2026-04-16,daily,IWS,iSh. Russell Mid-Cap Value ETF,153.09,Dark Green,c4,147.37,8.13,0.25,7,47,+3.81%,3.81,pP
2026-04-16,daily,IWX,iSh. Russell Top 200 Value ETF,96.94,Dark Green,c4,93.86,8.4,0.29,5,47,+1.25%,1.25,pP
2026-04-16,daily,IXUS,iSh. Core MSCI Total Intl. Sto,92.93,Dark Green,c4,87.8,8.61,0.35,5,1,+2.81%,2.81,pP
2026-04-16,daily,IYF,iSh. US Financials ETF,124.64,Dark Green,c4,118.91,7.48,-0.38,5,8,+2.31%,2.31,pP
2026-04-16,daily,IYR,iSh. US Real Estate ETF,100.47,Dark Green,c4,96.84,8.02,-0.32,5,0,+2.65%,2.65,pP
2026-04-16,daily,IYW,iSh. US Technology ETF,205.23,Dark Green,c4,187.23,8.48,-0.11,7,0,+10.41%,10.41,pP+
2026-04-16,daily,KBWB,Invesco KBW Bank ETF,86.06,Dark Green,c4,80.38,8.43,0.4,7,0,+6.96%,6.96,pP
2026-04-16,daily,LABU,Direxion Biotech Bull 3X ETF,201.1,Dark Green,c4,164.33,6.64,,10,34,+18.59%,18.59,pP
2026-04-16,daily,MOO,VanEck Agribusiness ETF,83.75,Bull-Bear Flip,c18,84.9,2.99,0.35,10,17,-1.18%,-1.18,Sell
2026-04-16,daily,PKW,Invesco Buyback Achievers ETF,137.4,Dark Green,c4,132.77,7.49,0.16,5,0,+1.37%,1.37,pP
2026-04-16,daily,QQQJ,Invesco Nasdaq Next Gen 100 ET,39.99,Dark Green,c4,37.18,8.37,0.28,7,1,+8.37%,8.37,pP
2026-04-16,daily,REET,iSh. Global REIT ETF,26.9,Dark Green,c4,25.81,8.38,-0.26,5,0,+2.91%,2.91,pP
2026-04-16,daily,RSPT,Invesco S&P 500 Equal Weight T,49.62,Dark Green,c4,46.79,6.44,0.43,8,0,+6.50%,6.5,pP
2026-04-16,daily,RWL,Invesco S&P 500 Revenue ETF,119.85,Dark Green,c4,116.17,8.08,0.29,5,1,+1.20%,1.2,pP
2026-04-16,daily,RZG,Invesco S&P 600 Pure Growth ET,61.56,Dark Green,c4,58.03,9.58,0.26,9,47,+6.64%,6.64,pP+
2026-04-16,daily,SCZ,iSh. MSCI EAFE Small-Cap ETF,83.9,Dark Green,c4,79.37,8.6,0.3,5,0,+2.14%,2.14,pP
2026-04-16,daily,SDIV,Global X SuperDividend ETF,26.1,Dark Green,c4,25.11,8.07,0.17,10,1,+3.28%,3.28,pP
2026-04-16,daily,SETM,Sprott Critical Materials ETF,37.16,Dark Green,c4,33.59,6.49,1.19,9,44,+14.41%,14.41,pP
2026-04-16,daily,SJB,ProShares Short High Yield ETF,15.28,Dark Red,c6,15.47,-7.42,,8,0,+0.84%,0.84,spBuy
2026-04-16,daily,SKYY,First Trust Cloud Computing ET,113.69,Bear-Bull Flip,c20,108.48,-0.8,-0.66,15,12,-1.59%,-1.59,Buy
2026-04-16,daily,SMLF,iSh. US Small-Cap Equity Facto,80.73,Dark Green,c4,76.2,7.9,0.24,7,0,+5.85%,5.85,pP
2026-04-16,daily,SOXS,Direxion Semiconductor Bear 3X,20.94,Dark Red,c6,33.87,-8.05,,9,50,+48.39%,48.39,spBuy+
2026-04-16,daily,SPEU,Portfolio Europe ETF,54.81,Dark Green,c4,52.04,8.85,0.28,7,0,+6.20%,6.2,pP
2026-04-16,daily,SPXS,Direxion S&P500 Bear 3X ETF,32.43,Dark Red,c6,38.82,-8.32,,5,0,+10.34%,10.34,spBuy
2026-04-16,daily,SQQQ,ProShares UltraPro Short QQQ E,59.44,Dark Red,c6,75.99,-8.15,,7,0,+22.89%,22.89,spBuy
2026-04-16,daily,SUSA,iSh. ESG Optimized MSCI USA ET,141.27,Dark Green,c4,134.41,8.28,-0.16,5,4,+3.05%,3.05,pP
2026-04-16,daily,TZA,Direxion Small Cap Bear 3X ETF,5.46,Dark Red,c6,6.84,-7.41,,7,47,+19.23%,19.23,spBuy
2026-04-16,daily,UPW,ProShares Ultra Utilities ETF,24.9,Bull-Bear Flip,c18,25.59,2.37,,8,8,-1.27%,-1.27,Sell
2026-04-16,daily,URE,ProShares Ultra Real Estate ET,67.16,Dark Green,c4,62.91,9.13,,5,0,+3.59%,3.59,pP
2026-04-16,daily,URTH,iSh. MSCI World ETF,193.33,Dark Green,c4,182.5,8.75,0.16,5,0,+3.32%,3.32,pP+
2026-04-16,daily,USRT,iSh. Core US REIT ETF,63.01,Dark Green,c4,60.53,8.13,-0.17,5,0,+2.87%,2.87,pP
2026-04-16,daily,UYG,ProShares Ultra Financials ETF,81.54,Dark Green,c4,74.74,7.57,,5,14,+4.66%,4.66,pP
2026-04-16,daily,VEA,Vanguard Developed Markets ETF,68.7,Dark Green,c4,65.1,8.45,0.39,5,50,+2.40%,2.4,pP
2026-04-16,daily,VEU,Vanguard All-World ex-US ETF,80.49,Dark Green,c4,76.27,8.49,0.35,5,1,+2.60%,2.6,pP
2026-04-16,daily,VGK,Vanguard Europe ETF,88.03,Dark Green,c4,83.64,8.67,0.29,7,0,+6.02%,6.02,pP
2026-04-16,daily,VNM,VanEck Vietnam ETF,18.66,Dark Green,c4,17.53,8.58,0.46,5,0,+2.25%,2.25,pP
2026-04-16,daily,VNQ,Vanguard REIT ETF,94.29,Dark Green,c4,91.05,7.45,-0.34,5,0,+2.80%,2.8,pP
2026-04-16,daily,VPL,Vanguard Pacific ETF,105.46,Dark Green,c4,99.76,7.75,0.49,5,50,+2.63%,2.63,pP
2026-04-16,daily,VT,Vanguard Total World Stock ETF,148.62,Dark Green,c4,140.29,8.67,0.21,5,0,+3.32%,3.32,pP+
2026-04-16,daily,VXUS,Vanguard Total Intl. Stock ETF,82.62,Dark Green,c4,78.22,8.52,0.35,5,1,+2.67%,2.67,pP
2026-04-16,daily,XBI,SPDR Biotech ETF,136.42,Dark Green,c4,127.05,6.56,0.62,10,39,+5.92%,5.92,pP
2026-04-16,daily,XLF,SPDR Financial Sector ETF,52.16,Dark Green,c4,49.83,6.65,-0.51,5,8,+2.39%,2.39,pP
2026-04-16,daily,XLV,SPDR Health Care Sector ETF,147.77,Dark Red,c6,149.67,1.6,0.03,28,3,+3.28%,3.28,AddSh
2026-04-16,daily,XPH,SPDR Pharmaceuticals ETF,57.5,Dark Green,c4,54.19,6.65,0.46,9,37,+7.00%,7.0,pP
2026-04-16,daily,XSW,SPDR Software & Services ETF,149.47,Bear-Bull Flip,c20,142.81,-1.3,-0.95,63,21,+20.25%,20.25,Buy
2026-04-16,daily,XT,iSh. Future Expon. Technologie,73.2,Dark Green,c4,69.08,8.36,-0.21,5,5,+3.23%,3.23,pP
2026-04-16,daily,XTL,SPDR Telecom ETF,211.13,Dark Green,c4,194.85,8.08,1.21,9,47,+12.55%,12.55,pP
2026-04-16,daily,ABTC,American Bitcoin,1.1,Bear-Bull Flip,c20,0.96,1.86,-1.77,140,25,+84.40%,84.4,Buy
2026-04-16,daily,ACH,Accendra Health,3.15,Dark Green,c4,2.54,8.8,-1.49,10,101,+38.16%,38.16,pP
2026-04-16,daily,ACHR,Archer Aviation,6.06,Bear-Bull Flip,c20,5.56,0.3,-0.97,30,22,+11.27%,11.27,Buy
2026-04-16,daily,ACVA,ACV Auctions,4.91,Bear-Bull Flip,c20,4.57,0.23,-1.44,53,59,+38.78%,38.78,Buy
2026-04-16,daily,AEG,Aegon NV,8.02,Dark Green,c4,7.33,9.81,-0.32,10,0,+8.67%,8.67,pP+
2026-04-16,daily,AGM,Federal Agricultural Mortgage,165.24,Dark Green,c4,151.01,7.59,-0.81,7,10,+9.05%,9.05,pP
2026-04-16,daily,AI,C3.ai,9.52,Bear-Bull Flip,c20,8.38,0.83,-1.44,82,36,+33.84%,33.84,Buy
